porte,A,B,C,cluster_A,cluster_B,cluster_C,prioridade
menor,1,1,1,2,2,1,3
menor,1,1,2,2,2,3,2
menor,1,1,3,2,2,2,1
menor,1,2,1,2,1,1,6
menor,1,2,2,2,1,3,5
menor,1,2,3,2,1,2,4
menor,1,3,1,2,3,1,9
menor,1,3,2,2,3,3,8
menor,1,3,3,2,3,2,7
menor,2,1,1,1,2,1,12
menor,2,1,2,1,2,3,11
menor,2,1,3,1,2,2,10
menor,2,2,1,1,1,1,15
menor,2,2,2,1,1,3,14
menor,2,2,3,1,1,2,13
menor,2,3,1,1,3,1,18
menor,2,3,2,1,3,3,17
menor,2,3,3,1,3,2,16
menor,3,1,1,3,2,1,21
menor,3,1,2,3,2,3,20
menor,3,1,3,3,2,2,19
menor,3,2,1,3,1,1,24
menor,3,2,2,3,1,3,23
menor,3,2,3,3,1,2,22
menor,3,3,1,3,3,1,27
menor,3,3,2,3,3,3,26
menor,3,3,3,3,3,2,25
medio,1,1,1,3,2,3,3
medio,1,1,2,3,2,1,2
medio,1,1,3,3,2,2,1
medio,1,2,1,3,1,3,6
medio,1,2,2,3,1,1,5
medio,1,2,3,3,1,2,4
medio,1,3,1,3,3,3,9
medio,1,3,2,3,3,1,8
medio,1,3,3,3,3,2,7
medio,2,1,1,1,2,3,12
medio,2,1,2,1,2,1,11
medio,2,1,3,1,2,2,10
medio,2,2,1,1,1,3,15
medio,2,2,2,1,1,1,14
medio,2,2,3,1,1,2,13
medio,2,3,1,1,3,3,18
medio,2,3,2,1,3,1,17
medio,2,3,3,1,3,2,16
medio,3,1,1,2,2,3,21
medio,3,1,2,2,2,1,20
medio,3,1,3,2,2,2,19
medio,3,2,1,2,1,3,24
medio,3,2,2,2,1,1,23
medio,3,2,3,2,1,2,22
medio,3,3,1,2,3,3,27
medio,3,3,2,2,3,1,26
medio,3,3,3,2,3,2,25
maior,1,1,1,2,2,2,3
maior,1,1,2,2,2,1,2
maior,1,1,3,2,2,3,1
maior,1,2,1,2,1,2,6
maior,1,2,2,2,1,1,5
maior,1,2,3,2,1,3,4
maior,1,3,1,2,3,2,9
maior,1,3,2,2,3,1,8
maior,1,3,3,2,3,3,7
maior,2,1,1,3,2,2,12
maior,2,1,2,3,2,1,11
maior,2,1,3,3,2,3,10
maior,2,2,1,3,1,2,15
maior,2,2,2,3,1,1,14
maior,2,2,3,3,1,3,13
maior,2,3,1,3,3,2,18
maior,2,3,2,3,3,1,17
maior,2,3,3,3,3,3,16
maior,3,1,1,1,2,2,21
maior,3,1,2,1,2,1,20
maior,3,1,3,1,2,3,19
maior,3,2,1,1,1,2,24
maior,3,2,2,1,1,1,23
maior,3,2,3,1,1,3,22
maior,3,3,1,1,3,2,27
maior,3,3,2,1,3,1,26
maior,3,3,3,1,3,3,25
